"ShotLocations.PLAYER_NAME","ShotLocations.TEAM_ABBREVIATION","head","Shot_Type","FGAM"
"A.J. Lawson","DAL","https://cdn.nba.com/headshots/nba/latest/260x190/1630639.png","Restricted",3.48793774319066
"A.J. Lawson","DAL","https://cdn.nba.com/headshots/nba/latest/260x190/1630639.png","Paint Not-Restricted",-3.98909052764083
"A.J. Lawson","DAL","https://cdn.nba.com/headshots/nba/latest/260x190/1630639.png","Midrange",-0.418862690707351
"A.J. Lawson","DAL","https://cdn.nba.com/headshots/nba/latest/260x190/1630639.png","Corner 3",-2.2244785949506
"A.J. Lawson","DAL","https://cdn.nba.com/headshots/nba/latest/260x190/1630639.png","Above Break 3",-0.0478186141784196
"A.J. Lawson","DAL","https://cdn.nba.com/headshots/nba/latest/260x190/1630639.png","Total 3",-2.27229720912902
"A.J. Lawson","DAL","https://cdn.nba.com/headshots/nba/latest/260x190/1630639.png","Total FGAM",-3.19231268428654
"AJ Green","MIL","https://cdn.nba.com/headshots/nba/latest/260x190/1631260.png","Restricted",1.35084187408492
"AJ Green","MIL","https://cdn.nba.com/headshots/nba/latest/260x190/1631260.png","Paint Not-Restricted",-1.32941793392764
"AJ Green","MIL","https://cdn.nba.com/headshots/nba/latest/260x190/1631260.png","Midrange",0.6496138996139
"AJ Green","MIL","https://cdn.nba.com/headshots/nba/latest/260x190/1631260.png","Corner 3",2.96344056519652
"AJ Green","MIL","https://cdn.nba.com/headshots/nba/latest/260x190/1631260.png","Above Break 3",2.07779926422036
"AJ Green","MIL","https://cdn.nba.com/headshots/nba/latest/260x190/1631260.png","Total 3",5.04123982941687
"AJ Green","MIL","https://cdn.nba.com/headshots/nba/latest/260x190/1631260.png","Total FGAM",5.71227766918806
"AJ Griffin","ATL","https://cdn.nba.com/headshots/nba/latest/260x190/1631100.png","Restricted",1.01310822867339
"AJ Griffin","ATL","https://cdn.nba.com/headshots/nba/latest/260x190/1631100.png","Paint Not-Restricted",-2.21585148411006
"AJ Griffin","ATL","https://cdn.nba.com/headshots/nba/latest/260x190/1631100.png","Midrange",-0.675512665862485
"AJ Griffin","ATL","https://cdn.nba.com/headshots/nba/latest/260x190/1631100.png","Corner 3",-1.53881998218324
"AJ Griffin","ATL","https://cdn.nba.com/headshots/nba/latest/260x190/1631100.png","Above Break 3",-1.65431081176554
"AJ Griffin","ATL","https://cdn.nba.com/headshots/nba/latest/260x190/1631100.png","Total 3",-3.19313079394878
"AJ Griffin","ATL","https://cdn.nba.com/headshots/nba/latest/260x190/1631100.png","Total FGAM",-5.07138671524793
"Aaron Gordon","DEN","https://cdn.nba.com/headshots/nba/latest/260x190/203932.png","Restricted",15.233181588265
"Aaron Gordon","DEN","https://cdn.nba.com/headshots/nba/latest/260x190/203932.png","Paint Not-Restricted",-14.3977865723392
"Aaron Gordon","DEN","https://cdn.nba.com/headshots/nba/latest/260x190/203932.png","Midrange",-6.73882580333414
"Aaron Gordon","DEN","https://cdn.nba.com/headshots/nba/latest/260x190/203932.png","Corner 3",0.63618890719385
"Aaron Gordon","DEN","https://cdn.nba.com/headshots/nba/latest/260x190/203932.png","Above Break 3",-5.55922696205515
"Aaron Gordon","DEN","https://cdn.nba.com/headshots/nba/latest/260x190/203932.png","Total 3",-4.9230380548613
"Aaron Gordon","DEN","https://cdn.nba.com/headshots/nba/latest/260x190/203932.png","Total FGAM",-10.8264688422696
"Aaron Holiday","HOU","https://cdn.nba.com/headshots/nba/latest/260x190/1628988.png","Restricted",1.57380952380952
"Aaron Holiday","HOU","https://cdn.nba.com/headshots/nba/latest/260x190/1628988.png","Paint Not-Restricted",-2.15841445479375
"Aaron Holiday","HOU","https://cdn.nba.com/headshots/nba/latest/260x190/1628988.png","Midrange",0.855209906372696
"Aaron Holiday","HOU","https://cdn.nba.com/headshots/nba/latest/260x190/1628988.png","Corner 3",2.06770118099423
"Aaron Holiday","HOU","https://cdn.nba.com/headshots/nba/latest/260x190/1628988.png","Above Break 3",4.74652441758916
"Aaron Holiday","HOU","https://cdn.nba.com/headshots/nba/latest/260x190/1628988.png","Total 3",6.8142255985834
"Aaron Holiday","HOU","https://cdn.nba.com/headshots/nba/latest/260x190/1628988.png","Total FGAM",7.08483057397186
"Aaron Nesmith","IND","https://cdn.nba.com/headshots/nba/latest/260x190/1630174.png","Restricted",-1.96570852244075
"Aaron Nesmith","IND","https://cdn.nba.com/headshots/nba/latest/260x190/1630174.png","Paint Not-Restricted",1.74718924030682
"Aaron Nesmith","IND","https://cdn.nba.com/headshots/nba/latest/260x190/1630174.png","Midrange",2.0444310292786
"Aaron Nesmith","IND","https://cdn.nba.com/headshots/nba/latest/260x190/1630174.png","Corner 3",10.4456559243668
"Aaron Nesmith","IND","https://cdn.nba.com/headshots/nba/latest/260x190/1630174.png","Above Break 3",8.23382908404155
"Aaron Nesmith","IND","https://cdn.nba.com/headshots/nba/latest/260x190/1630174.png","Total 3",18.6794850084084
"Aaron Nesmith","IND","https://cdn.nba.com/headshots/nba/latest/260x190/1630174.png","Total FGAM",20.5053967555531
"Aaron Wiggins","OKC","https://cdn.nba.com/headshots/nba/latest/260x190/1630598.png","Restricted",0.803692927997062
"Aaron Wiggins","OKC","https://cdn.nba.com/headshots/nba/latest/260x190/1630598.png","Paint Not-Restricted",4.4836610454132
"Aaron Wiggins","OKC","https://cdn.nba.com/headshots/nba/latest/260x190/1630598.png","Midrange",-2.7710407239819
"Aaron Wiggins","OKC","https://cdn.nba.com/headshots/nba/latest/260x190/1630598.png","Corner 3",2.24699663623258
